Product_name,Category,Brand,Price,Rating,Feature
iphone 15,Mobile,Apple,79999,4.8,5g A15 OLED
Samsung S24,Mobile,Samsung,74999,4.7,5g AMOLED
Mackbook Air,Laptop,Apple,99999,4.9,M4 Lightweight 
OnePlus 13,Mobile,OnePlus,69999,4.6,5G Snapdragon
Xiaomi 15,Mobile,Xiaomi,59999,4.5,5G Fast Charging
Google Pixel 9,Mobile,Google,79999,4.8,AI Camera
MacBook Air M4,Laptop,Apple,99999,4.9,M4 Lightweight
Dell XPS 13,Laptop,Dell,109999,4.8,Intel Ultra OLED
HP Victus,Laptop,HP,74999,4.5,RTX Gaming
Lenovo IdeaPad,Laptop,Lenovo,59999,4.4,Ryzen SSD
Asus ROG,Laptop,Asus,129999,4.8,RTX Gaming
Sony WH-1000XM5,Headphones,Sony,29999,4.8,ANC Wireless
AirPods Pro 2,Earbuds,Apple,24999,4.7,ANC Spatial Audio
Galaxy Buds 3,Earbuds,Samsung,14999,4.5,ANC Bluetooth
JBL Tune 770NC,Headphones,JBL,8999,4.4,ANC Wireless
Boat Airdopes 800,Earbuds,Boat,2999,4.2,Bluetooth ENC